id;song;artist;duration_ms;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;popularity
0kO5S3tY6oIk1cLVZ3bFmv;High Together;David Pomeranz;246787;732;565;0;-10.573;1;0.0266;393;0.00584;0.0451;773;106.853;2
0inIpxWP4hNSxyu541Bp5S;Home To Alaska;David Pomeranz;106627;708;389;0;-13.768;1;118;305;3.66e-06;0.0807;483;98.698;1
2uDjKoHo8kN4o9mdb3P34E;Clarence;David Pomeranz;349533;358;0.0941;4;-13.537;1;0.0314;941;9.49e-06;117;158;103.081;0
3erxlf8zMnZ8tEAQlzaXaL;Pay No Mind;Ian Moore;319427;267;905;7;-8.989;1;0.0568;0.00645;0.0529;981;437;116.278;5
3pUHoXlGEWxUwORpciqABw;Satisfied;Ian Moore;317067;288;761;4;-9.461;1;0.0475;12;0.00479;934;419;174.133;5
0PLK4NELLJ4HgZvhkFerFM;Deliver Me;Ian Moore;407240;273;739;0;-9.644;1;0.0683;0.0623;6.62e-05;981;377;83.865;3
5qIK0U6yGiqKu2Tg5G3mI5;Blue Sky / Abraham, Martin & John;Ian Moore;608360;368;413;7;-11.271;1;0.0303;111;0.000412;991;293;141.265;6
2vAUh5vX74JjAUF1V9Zmey;Me and My Guitar;Ian Moore;432133;0.42;871;9;-10.062;0;0.0558;0.0182;44;953;417;106.592;8
5a6PnqMw1KNogb2IJs4Ue7;Trilogy: The Sunlit Path / La Mere De La Mer / Tomorrow's Story Not the Same - Live in Central Park, New York, NY - August 1973;Mahavishnu Orchestra;722213;295;709;9;-10.447;0;0.0568;0.00178;701;964;0.11;125.435;10
1g9DYdMzYoWEtQDtZSfh8i;Sister Andrea - Live in Central Park, New York, NY - August 1973;Mahavishnu Orchestra;592600;232;666;9;-9.877;0;0.0452;0.00245;807;975;278;88.123;8
1RGjTXG7uBUjMKu0FVzjf7;Dream - Live in Central Park, New York, NY - August 1973;Mahavishnu Orchestra;1281613;352;547;4;-10.674;0;0.0681;0.0101;807;668;131;128.283;7
4bsPlHVbqZt7IU7suSAF7p;Triple Sevens;Blackjesus Yoshua;182883;0.59;311;1;-17.081;0;0.0398;0.0583;916;122;398;83.978;3
3ON2h9QmLviyaqCKfVBInM;Air Dry Her;Blackjesus Yoshua;207517;706;259;6;-12.442;1;0.0746;0.0322;926;109;483;188.0;1
4yiJbPDqOxs27BgZpG5PAc;Warrior Lahmu;Blackjesus Yoshua;192235;677;478;6;-14.429;1;0.0555;0.000186;915;0.12;557;89.996;3
2VL5LLnvPGz6po5oOIwykT;All the Game;Blackjesus Yoshua;200359;847;363;7;-10.261;1;0.0908;0.000926;0.89;0.0943;664;120.051;5
6yiXlE7AibfPSstGzDJgTP;Skunkdafunk;Blackjesus Yoshua;225933;779;402;5;-13.939;0;0.0652;0.00751;777;0.0881;776;102.053;1
4q73FKpNQgqUYVtDyoqDry;Big Rapids Theme;Blackjesus Yoshua;208039;761;332;2;-12.949;1;0.0559;0.000291;874;137;767;120.031;2
1c8vbtUca2zpVa3iSQE4Nm;Shaitanic Books;Blackjesus Yoshua;212741;714;348;9;-12.651;1;0.0382;0.00489;933;136;435;119.996;3
0cu0Xg1UWxQ3XgCCda7IfO;Bowling Pins;Blackjesus Yoshua;194168;615;461;1;-12.81;0;0.0323;0.0846;808;123;0.41;124.061;2
3iSwUpPOuTNx6jPo9TnCdL;Neo's New Bass City;Blackjesus Yoshua;245133;0.5;427;9;-13.36;1;0.03;0.000137;832;169;165;187.969;3
1LopAd8ydR61jezG7GkdKc;Doctor Doug's Experiment;Blackjesus Yoshua;182282;0.8;0.36;4;-17.801;0;168;35;813;0.32;605;138.04;1
69sYfBeqkPVCGsS3SQGjrB;Native American Property;Blackjesus Yoshua;212140;708;418;0;-16.249;1;0.0428;457;885;113;0.11;112.01;2
3oIMjN1FTSTjgB30iud4Wn;Mind of a Criminal;Blackjesus Yoshua;200359;722;382;2;-15.882;1;0.0461;0.0616;857;0.0815;363;120.024;2
0pwnFVMcl4NjhRyqK5tONy;My Loving Spirit;Blackjesus Yoshua;234397;631;373;0;-12.12;1;0.0407;479;331;0.34;237;180.054;3
7CbPNEr8vtjL9VR7sUozjS;Demontime;757babyglock;111491;487;401;9;-14.647;1;359;0.0223;4.29e-06;0.0779;122;77.747;15
5pnJCau6pxNCzNEEiwiUtv;Don't Leave Me;Yung Shadøw;218429;802;506;9;-8.635;0;161;0.29;0.000635;156;386;150.048;14
4hqMk8ISgWo8r7rndwXfC2;Magic;The Cars;237560;728;653;9;-12.777;1;0.0408;146;0.000282;103;965;117.845;14
6Sy94SC7O6I14gtamygRAk;I Refuse;The Cars;196667;796;675;5;-12.777;1;0.0293;0.0144;0.000949;107;761;131.009;4
5zL1zyCMEjUPEqJOvjQNTT;Frosty Night;KingJa;194416;732;416;10;-20.573;0;0.0413;0.000716;882;0.0833;967;92.696;14
6RenBwsTCMIWr0UK6aQ2Oz;Ire;KayFresh;218305;805;721;6;-3.718;0;387;212;0.000247;112;786;180.079;14
0uqHw0ZTqeGnIufFieLoyK;E-Cumbia;Noob_Memeus;134399;855;545;7;-11.331;1;104;0.0119;736;0.0876;323;100.032;14
4wycYbBBiWOEG8QDSimQu0;Bravi Ragazzi (Bravo Muchachos);Miguel Bosé;246507;473;847;0;-8.584;1;43;0.00176;8.71e-06;0.0459;801;162.686;4
08sEyVIXaYe1kwq9UJSRZk;Ce la fai;Miguel Bosé;164267;583;0.61;0;-9.817;1;0.0262;127;0.0;139;467;92.171;2
18XE7PhBmqSo2NaWZbRsqq;Olympic Games (Voy A Ganar);Miguel Bosé;186827;543;802;9;-11.778;0;0.0689;24;2.38e-06;0.0667;697;145.168;0
1BzpuhUcww3VpS17CrtAPt;Credo En Ti;Miguel Bosé;236533;484;411;5;-17.568;1;0.0328;187;0.0008;368;348;87.834;0
