album_name,number_of_artists,artist_followers_total,artist_followers_average,artist_popularity,type,release_date,release_precision,restrictions,total_tracks,total_length_min,avg_popularity,max_popularity,number_of_collabs,Max_popularity_collab,Avg_popularity_collab,number_of_markets,US_market,CA_market,BR_market,CN_market,DE_market,ES_market,SA_market,UK_market,RU_market,MX_markets
Rawkus Records - Best of Decade I 1995-2005 (Explicit Version),1,1642710,1642710.0,0.0,compilation,2005-01-01,day,False,15,54,0.0,0,28,75,1.1071428571428572,0,False,False,False,False,False,False,False,False,False,False
Prospect (feat. Lil Baby),1,1633276,1633276.0,74.0,single,2020-05-22,day,False,1,3,58.0,58,1,89,89.0,183,True,True,True,False,True,True,True,False,False,True
Stain,2,313460,156730.0,46.0,single,2021-04-09,day,False,1,2,30.0,30,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
D.I.T.C.,1,49725,49725.0,45.0,album,2000-02-22,day,False,15,48,0.0,0,39,66,1.205128205128205,0,False,False,False,False,False,False,False,False,False,False
Goodbye & Good Riddance,1,26341473,26341473.0,88.0,album,2018-12-10,day,False,17,40,70.11764705882352,84,1,85,85.0,181,True,True,True,False,True,True,True,False,False,True
NOCTURNAL,1,13344,13344.0,39.0,album,2019-11-15,day,False,7,12,22.42857142857143,40,5,71,8.8,183,True,True,True,False,True,True,True,False,False,True
pop a pill,1,192152,192152.0,52.0,single,2017-10-18,day,False,1,3,51.0,51,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
Crisis,1,321708,321708.0,61.0,single,2020-07-27,day,False,1,1,56.0,56,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),1,1642710,1642710.0,0.0,compilation,2018-12-14,day,False,13,33,63.692307692307686,82,29,88,1.3793103448275863,183,True,True,True,False,True,True,True,False,False,True
Payday,2,1209520,604760.0,50.5,single,2021-11-12,day,False,1,3,45.0,45,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
Welcome to Broakland,1,2573,2573.0,24.0,album,2002-11-05,day,False,19,40,4.631578947368421,35,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
"Legendary Music, Vol. 1",1,87053,87053.0,37.0,album,2006-08-15,day,False,11,32,0.0,0,15,46,2.533333333333333,0,False,False,False,False,False,False,False,False,False,False
Gang Signs & Prayer,1,2590184,2590184.0,73.0,album,2017-02-24,day,False,16,50,48.75,65,7,74,6.285714285714286,183,True,True,True,False,True,True,True,False,False,True
SEPT 5TH,1,1110866,1110866.0,63.0,album,2016-03-27,day,False,10,41,45.9,60,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
"""Awaken, My Love!""",1,9971754,9971754.0,77.0,album,2016-12-02,day,False,11,44,49.0,73,0,0,0.0,0,False,False,False,False,False,False,False,False,False,False
The Real Thing,1,34,34.0,1.0,album,2021-06-01,day,False,8,22,0.75,4,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
There You Have It,1,178950,178950.0,53.0,album,2018-09-28,day,False,12,40,30.250000000000004,47,3,23,2.3333333333333335,174,True,True,True,False,True,True,True,False,False,True
Kings Of Crunk,1,685387,685387.0,60.0,album,2002-10-29,day,False,19,65,32.473684210526315,73,26,81,0.5769230769230769,183,True,True,True,False,True,True,True,False,False,True
Stay Trippy,1,2927022,2927022.0,73.0,album,2013-08-23,day,False,16,54,40.0,61,14,87,5.714285714285714,183,True,True,True,False,True,True,True,False,False,True
Reasonable Doubt / Vol. 2 Hard Knock Life,1,7733681,7733681.0,82.0,compilation,2010-09-10,day,False,29,106,0.0,0,24,76,2.375,0,False,False,False,False,False,False,False,False,False,False
Pro Era,1,108878,108878.0,37.0,album,2016-06-03,day,False,12,36,0.0,0,3,73,24.333333333333332,0,False,False,False,False,False,False,False,False,False,False
Black Vladimir,2,60901,30450.5,42.0,album,2022-08-26,day,False,15,45,33.46666666666667,44,6,65,6.333333333333333,183,True,True,True,False,True,True,True,False,False,True
Feedback (International Version),1,401215,401215.0,54.0,album,2006-01-01,day,False,16,47,0.0,0,2,62,31.0,0,False,False,False,False,False,False,False,False,False,False
The God Hour,2,11730387,5865193.5,69.5,single,2022-04-01,day,False,1,2,56.0,56,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
Blackmage,1,2925774,2925774.0,71.0,album,2016-07-03,day,False,13,31,40.92307692307692,65,3,61,20.333333333333332,169,True,True,True,False,True,True,True,False,False,True
Chaos,1,2088084,2088084.0,70.0,single,2017-10-05,day,False,1,2,42.0,42,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
LIVE LIFE FAST,1,8551127,8551127.0,79.0,album,2021-12-17,day,False,18,41,51.777777777777786,70,10,91,8.3,183,True,True,True,False,True,True,True,False,False,True
Palo Santo,1,5324,5324.0,39.0,single,2022-01-21,day,False,1,2,55.0,55,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
Radio Waves,2,8844,4422.0,32.0,album,2020-11-13,day,False,22,66,13.045454545454545,40,11,43,1.9090909090909092,183,True,True,True,False,True,True,True,False,False,True
Groovy People,1,403495,403495.0,60.0,single,2016-08-05,day,False,5,15,48.0,62,1,74,74.0,183,True,True,True,False,True,True,True,False,False,True
Pray for Paris,1,308141,308141.0,65.0,album,2020-04-17,day,False,12,31,44.83333333333334,62,12,83,1.8333333333333333,183,True,True,True,False,True,True,True,False,False,True
COINCIDENCE,1,308304,308304.0,70.0,single,2022-08-19,day,False,1,2,58.0,58,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
DIME TRAP,1,4384861,4384861.0,72.0,album,2018-10-05,day,False,15,53,30.933333333333337,47,12,82,2.5833333333333335,183,True,True,True,False,True,True,True,False,False,True
Strange Journey Volume Two [Deluxe Edition],1,149321,149321.0,44.0,album,2009-11-03,day,False,28,75,0.0,0,8,44,0.0,0,False,False,False,False,False,False,False,False,False,False
This Is America,1,9971754,9971754.0,77.0,single,2018-05-06,day,False,1,3,69.0,69,0,0,0.0,170,True,True,True,False,True,True,True,False,False,True
Bob James Freestyle,1,753141,753141.0,65.0,single,2021-11-25,day,False,2,5,16.5,17,1,67,67.0,183,True,True,True,False,True,True,True,False,False,True
C.N.O.T.E Vs Gucci: Collectors Edition,2,4527369,2263684.5,46.5,album,2014-12-25,day,False,23,78,9.869565217391306,27,23,82,3.5652173913043477,183,True,True,True,False,True,True,True,False,False,True
To Pimp A Butterfly,1,21914632,21914632.0,87.0,album,2015-03-16,day,False,16,71,0.0,0,11,82,4.636363636363637,0,False,False,False,False,False,False,False,False,False,False
Curtain Call 2,1,61390756,61390756.0,90.0,album,2022-08-05,day,False,35,144,53.74285714285715,72,21,89,1.6666666666666667,182,True,True,True,False,True,True,True,False,False,True
More Than A Game,1,1642710,1642710.0,0.0,compilation,2009-01-01,day,False,11,41,25.727272727272734,66,26,96,0.7307692307692307,78,True,True,True,False,False,False,True,False,False,True
- TRAGEDY +,1,1211175,1211175.0,72.0,album,2020-03-06,day,False,12,25,55.75000000000001,73,2,64,28.5,183,True,True,True,False,True,True,True,False,False,True
Candy Shop (International Version),1,9625768,9625768.0,82.0,single,2005-01-01,day,False,3,9,0.0,0,1,63,63.0,0,False,False,False,False,False,False,False,False,False,False
Street Corner Shit (Kenny Dope Remix),2,25627,12813.5,44.5,single,2019-02-22,day,False,2,6,0.5,1,6,54,7.833333333333333,183,True,True,True,False,True,True,True,False,False,True
The Best Of The Geto Boys,1,690075,690075.0,54.0,compilation,2008,year,False,25,64,0.0,0,0,0,0.0,0,False,False,False,False,False,False,False,False,False,False
