,album_name,number_of_artists,artist_followers_total,artist_followers_average,artist_popularity,type,release_date,release_precision,restrictions,total_tracks,total_length_min,avg_popularity,max_popularity,number_of_collabs,Max_popularity_collab,Avg_popularity_collab,number_of_markets,US_market,CA_market,BR_market,CN_market,DE_market,ES_market,SA_market,UK_market,RU_market,MX_markets
274,Lethal Injection,1,6216369,6216369.0,73.0,album,1993-12-07,day,False,12,50,0.0,0,2,53,13.5,0,False,False,False,False,False,False,False,False,False,False
275,The Diary,1,804718,804718.0,56.0,album,1994,year,False,13,36,33.76923076923077,57,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
276,2Pacalypse Now,1,13873094,13873094.0,78.0,album,1991-11-12,day,False,13,49,38.38461538461537,55,0,0,0.0,169,True,True,True,False,True,True,False,False,False,True
277,AT.LONG.LAST.A$AP,1,11475745,11475745.0,80.0,album,2015-05-26,day,False,18,57,56.888888888888886,76,20,90,1.45,171,True,True,True,False,True,True,False,False,False,True
278,The Blueprint 3,1,7728824,7728824.0,82.0,album,2009-09-08,day,False,15,56,51.400000000000006,82,12,96,4.583333333333333,182,True,True,True,False,True,True,True,False,False,True
279,Jesus Piece (Deluxe),1,4255262,4255262.0,72.0,album,2012-01-01,day,False,15,63,38.66666666666666,64,25,90,3.44,165,True,True,True,False,True,True,False,False,False,True
280,Yeezus,1,18613723,18613723.0,90.0,album,2013-06-18,day,False,10,34,65.0,86,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
281,Terrorist Threats,1,1208919,1208919.0,57.0,album,2003-12-09,day,False,14,45,37.07142857142857,66,6,73,1.6666666666666667,182,True,True,True,False,True,True,True,False,False,True
282,Karma 3,1,615079,615079.0,60.0,album,2020-08-14,day,False,15,44,34.2,60,11,80,6.2727272727272725,183,True,True,True,False,True,True,True,False,False,True
283,SAVAGE MODE II,2,15057966,7528983.0,85.0,album,2020-10-02,day,False,15,39,65.86666666666666,79,3,96,23.0,183,True,True,True,False,True,True,True,False,False,True
284,B4.DA.$$,1,2787059,2787059.0,73.0,album,2015-01-20,day,False,17,51,42.82352941176472,62,8,61,6.875,183,True,True,True,False,True,True,True,False,False,True
285,Bizarre Ride II The Pharcyde,1,604808,604808.0,57.0,album,1992-11-24,day,False,16,52,38.5625,68,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
286,The Chronic,1,8281199,8281199.0,78.0,album,1992-12-15,day,False,16,53,0.5625,5,11,82,2.4545454545454546,0,False,False,False,False,False,False,False,False,False,False
287,The Sun's Tirade,1,1204347,1204347.0,66.0,album,2016-09-02,day,False,17,53,48.11764705882353,65,9,87,9.22222222222222,169,True,True,True,False,True,True,True,False,False,True
288,The Essential Cypress Hill,1,1691678,1691678.0,66.0,compilation,2014-10-10,day,False,31,103,32.096774193548384,64,6,70,6.666666666666667,183,True,True,True,False,True,True,True,False,False,True
289,CHASE,1,257077,257077.0,66.0,album,2019-02-28,day,False,11,20,0.0,0,0,0,0.0,0,False,False,False,False,False,False,False,False,False,False
290,"Passion, Pain & Demon Slayin'",1,6122411,6122411.0,81.0,album,2016-12-16,day,False,19,78,46.578947368421055,62,6,87,13.166666666666666,178,True,True,True,False,True,True,True,False,False,True
291,Black Habits,1,417608,417608.0,55.0,album,2020-02-07,day,False,16,55,33.375,57,8,82,7.875,183,True,True,True,False,True,True,True,False,False,True
292,Noise Kandy 3: The Overdose,1,27177,27177.0,51.0,album,2019-07-23,day,False,13,28,20.384615384615383,38,4,40,10.0,183,True,True,True,False,True,True,True,False,False,True
293,Born Sinner,1,18276353,18276353.0,84.0,album,2013-06-14,day,False,21,68,0.9047619047619048,19,9,87,8.444444444444445,0,False,False,False,False,False,False,False,False,False,False
294,Family and Loyalty,1,806041,806041.0,61.0,single,2019-09-20,day,False,1,4,38.0,38,1,84,84.0,183,True,True,True,False,True,True,True,False,False,True
295,The Return of the King,1,535,535.0,16.0,album,2021-05-28,day,False,10,25,2.3,6,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
296,Royalty,1,737603,737603.0,64.0,album,2018-02-23,day,False,8,22,26.125,39,2,65,28.5,183,True,True,True,False,True,True,True,False,False,True
297,ZUU,1,1973893,1973893.0,71.0,album,2019-05-31,day,False,12,25,47.41666666666667,64,6,76,6.666666666666667,181,True,True,True,False,True,True,True,False,False,True
298,The Blow Up,1,18276353,18276353.0,84.0,album,2014-11-09,day,False,11,27,32.27272727272727,51,0,0,0.0,111,False,False,False,False,True,True,True,False,False,False
299,Hiding Places,2,91872,45936.0,43.5,album,2019-03-29,day,False,12,34,33.0,43,3,35,5.333333333333333,183,True,True,True,False,True,True,True,False,False,True
300,Madvillainy,3,2464037,821345.6666666667,68.66666666666667,album,2004-03-24,day,False,22,33,0.0,0,6,53,5.833333333333333,0,False,False,False,False,False,False,False,False,False,False
301,THE MOUSE & THE MASK,1,203142,203142.0,51.0,album,2005-10-17,day,False,16,39,0.0,0,7,74,9.571428571428571,0,False,False,False,False,False,False,False,False,False,False
302,Hell On Earth,1,1692648,1692648.0,65.0,album,1996-11-19,day,False,14,52,40.92857142857142,65,8,71,5.75,183,True,True,True,False,True,True,True,False,False,True
303,Operation: Doomsday (Complete),1,1599579,1599579.0,74.0,album,1999-04-20,day,False,42,116,40.309523809523824,73,17,55,2.647058823529412,183,True,True,True,False,True,True,True,False,False,True
304,93 'til Infinity,1,248917,248917.0,53.0,album,1993-02-13,day,False,14,47,35.71428571428571,69,3,52,17.333333333333332,183,True,True,True,False,True,True,True,False,False,True
305,Confessions of a Dangerous Mind,1,5805600,5805600.0,75.0,album,2019-05-10,day,False,16,46,51.25,73,7,90,3.7142857142857135,178,True,True,True,False,True,True,True,False,False,True
306,Lifestylez Ov Da Poor & Dangerous,1,727563,727563.0,59.0,album,1995-03-28,day,False,12,42,46.49999999999999,63,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
307,Key to the Kuffs,1,74655,74655.0,43.0,album,2012-08-20,day,False,15,35,0.0,0,4,48,8.25,0,False,False,False,False,False,False,False,False,False,False
308,Lewis Street,1,18276353,18276353.0,84.0,single,2020-07-22,day,False,2,8,61.0,62,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
309,Revenge Of The Dreamers III,2,18744204,9372102.0,75.0,album,2019-07-05,day,False,18,53,54.11111111111112,73,59,81,1.0677966101694916,181,True,True,True,False,True,True,True,False,False,True
310,The Light Pack,1,2787059,2787059.0,73.0,single,2020-07-17,day,False,3,7,51.0,60,1,71,71.0,183,True,True,True,False,True,True,True,False,False,True
311,Self Care,1,8158416,8158416.0,82.0,single,2018-07-13,day,False,1,5,45.0,45,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
312,"good kid, m.A.A.d city",1,21895466,21895466.0,87.0,album,2012,year,False,14,73,54.71428571428571,76,7,96,9.0,180,False,False,True,False,True,True,True,False,False,True
313,Life,1,174269,174269.0,58.0,single,2020-07-06,day,False,1,3,0.0,0,0,0,0.0,0,False,False,False,False,False,False,False,False,False,False
314,Escape From New York,3,4039064,1346354.6666666665,58.0,album,2019-05-24,day,False,13,38,42.46153846153845,54,52,56,0.8461538461538461,183,True,True,True,False,True,True,True,False,False,True
315,The Plugs I Met,1,275705,275705.0,62.0,album,2019-06-21,day,False,7,20,37.285714285714285,53,7,71,4.571428571428571,183,True,True,True,False,True,True,True,False,False,True
316,Single Again,1,10159914,10159914.0,77.0,single,2019-07-26,day,False,1,3,54.0,54,0,0,0.0,178,True,True,True,False,True,True,True,False,False,True
317,Macadelic (Remastered Edition),1,8158416,8158416.0,82.0,album,2012-03-23,day,False,17,58,51.1764705882353,66,9,87,8.11111111111111,183,True,True,True,False,True,True,True,False,False,True
318,Confetti,1,2655763,2655763.0,81.0,album,2019-09-20,day,False,12,30,51.16666666666667,68,3,78,26.0,183,True,True,True,False,True,True,True,False,False,True
319,Bandana,2,1450582,725291.0,68.0,album,2019-06-28,day,False,15,39,43.0,57,5,77,11.8,183,True,True,True,False,True,True,True,False,False,True
320,Alfredo,2,1449667,724833.5,67.5,album,2020-05-29,day,False,10,29,52.9,64,4,83,14.75,183,True,True,True,False,True,True,True,False,False,True
321,No Pressure,1,5805600,5805600.0,75.0,album,2020-07-24,day,False,15,52,50.4,67,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
